,Zip Code,"Volume Sold (Liters), Total","Sale (Dollars), Total","Volume Sold (Liters), Average","Sale (Dollars), Average","Price Per Liter, Average","Margin, Total","Price Per Bottle, Average"
161,50665,654.0,7255.65,11.0847457627,122.977118644,11.4877239709,2427.09,12.2376271186
162,50667,376.57,6025.64,3.16445378151,50.6356302521,19.6352286178,2009.45,14.26
163,50669,279.0,3276.78,9.96428571429,117.027857143,11.9757993197,1100.34,12.5928571429
164,50674,685.53,9022.86,2.61652671756,34.4383969466,16.1514705418,3011.02,15.2844656489
165,50675,811.17,9845.62,9.02697478992,130.386848739,15.3935959384,3283.76,11.890210084
166,50676,1463.48,16586.7,8.08552486188,91.6392265193,13.8864647461,5553.07,14.0254143646
167,50677,10137.34,131042.58,10.1338926564,141.485256531,17.0676453906,43805.77,15.538210274
168,50680,199.5,1570.8,18.1363636364,142.8,9.50164502165,528.54,9.06545454545
169,50682,347.55,4986.59,7.87716346154,110.360504808,16.1181513278,1665.62,15.1084855769
170,50701,13912.19,199479.61,9.35754504799,130.350625535,17.5057992683,66651.4,13.7080054054
171,50702,27380.01,366786.39,11.2379314225,153.438283606,17.6539043209,122616.42,13.5417023144
172,50703,22566.19,375963.9,8.64118184573,146.720426997,19.6157409426,125515.2,11.478805034
173,50707,3430.01,47114.25,6.44627045472,94.6414902605,18.1666536717,15738.14,12.5158218472
174,50801,6339.53,89240.36,7.41360340123,103.919274382,16.6002513543,29844.73,14.1854838752
175,50830,214.5,2723.76,21.45,272.376,18.3662857143,912.48,11.062
176,50833,466.28,6130.51,4.16321428571,54.7366964286,16.582057991,2047.93,13.923125
177,50841,822.28,10245.14,4.35068783069,54.2070899471,17.3241036785,3417.67,15.2820634921
178,50846,480.75,6495.09,10.4510869565,141.197608696,18.4613354037,2165.7,18.9065217391
179,50849,1001.35,12293.43,7.61823308271,98.3279323308,15.4129860365,4109.1,12.2754887218
180,50854,1304.25,15447.85,10.1407022181,140.206379056,14.509350134,5163.41,14.0165039459
181,50864,81.75,1020.5,5.45,68.0333333333,15.872,341.32,12.4066666667
182,51001,343.38,4315.29,6.13178571429,77.05875,17.007670068,1446.94,12.2583928571
183,51002,143.25,1731.36,11.0192307692,133.181538462,12.5223443223,577.44,11.8146153846
184,51004,769.93,9452.11,5.23761904762,64.3000680272,15.5975530237,3161.35,13.4234013605
185,51005,139.5,1502.82,15.5,166.98,12.0692063492,508.26,11.71
186,51012,3447.41,43675.45,8.77183582621,111.490938201,14.8020794487,14633.15,14.2348450855
187,51023,1062.24,13500.68,7.64201438849,97.1271942446,15.608987667,4512.64,15.2911510791
188,51025,1597.0,23756.4,6.18992248062,92.0790697674,17.819155639,7934.49,16.3367829457
189,51027,145.5,2438.71,5.59615384615,93.7965384615,19.6576739927,813.16,16.6042307692
190,51028,375.75,4294.86,9.88815789474,113.022631579,13.5613784461,1438.88,13.0286842105
191,51031,8598.09,118601.84,10.2095710436,129.222784038,16.5038673266,39633.05,15.198100621
192,51034,1797.38,22826.04,5.3493452381,67.9346428571,15.4166044101,7642.2,15.3075892857
193,51035,344.25,4020.39,5.46428571429,63.8157142857,13.4464928193,1347.0,13.1807936508
194,51040,2217.31,30851.69,5.16742612753,77.5978024328,16.8389542135,10308.65,11.9442068429
195,51041,3422.32,40616.0,21.7982165605,258.700636943,16.5409364128,13759.74,13.7312738854
196,51046,786.56,8687.67,9.09025641026,95.6232179487,14.8472366493,2911.25,14.0587564103
197,51050,837.35,10120.82,7.97476190476,96.3887619048,15.3609331066,3389.44,13.868
198,51054,1714.02,23348.92,5.6690865971,78.1585896915,17.8107256516,7808.61,14.1022401409
199,51055,672.17,9311.36,7.30619565217,101.210434783,15.6926371636,3113.73,11.2185869565
200,51058,240.0,3193.5,8.57142857143,114.053571429,14.7637244898,1066.34,15.1389285714
201,51101,2926.13,50799.35,6.37244088073,122.324460168,23.5188831298,16953.95,18.5994069593
202,51103,11881.81,207910.07,8.05309209957,130.208349437,18.3880838487,69363.86,12.9767866966
203,51104,8561.62,125664.27,6.37051616048,93.7206448129,19.1137995279,41982.51,14.60090967
204,51105,7375.99,102145.65,7.41808069148,102.43917124,18.1846069301,34114.53,11.7192652088
205,51106,26174.87,375032.92,11.3114204388,164.587246028,17.7212870133,125324.96,13.8460147439
206,51108,5918.06,75185.31,9.94787791277,122.979599468,15.4808576833,25219.6,13.5704856492
207,51109,985.35,12678.79,7.70597727273,105.973677273,16.2206548341,4233.84,12.6797318182
208,51201,7791.22,100985.86,26.2014844415,282.858361821,15.7023244657,33727.51,13.5249395782
209,51237,282.74,4230.87,3.24988505747,48.6306896552,16.2356955607,1413.23,14.7237931034
210,51238,161.14,2015.45,7.67333333333,95.9738095238,16.9199036281,675.04,10.6619047619
211,51240,594.3,7276.27,3.90986842105,47.8701973684,15.670718985,2432.67,13.9961842105
212,51241,1687.25,24203.26,7.42012115635,113.973656161,18.3946103205,8084.57,17.6063173836
213,51245,580.85,8596.51,6.45388888889,95.5167777778,17.2607936508,2874.09,17.8213333333
214,51246,2678.17,35984.52,6.49075672295,85.9408505316,16.0741082948,12029.61,15.1223753127
215,51247,754.9,9541.14,9.93289473684,125.541315789,15.1816353383,3191.11,12.9182894737
216,51248,541.22,6501.29,3.73255172414,44.8364827586,15.3720846393,2168.63,12.2542068966
217,51249,1815.27,24456.7,5.54786176108,74.1915527504,16.4935585813,8180.4,14.9193236864
218,51250,5509.25,83665.13,12.0944814431,185.677738366,17.1972515438,27933.65,15.4921218384
219,51301,11917.32,143992.92,12.1499897123,136.012233886,14.5088543156,48134.39,13.5037109944
220,51331,2323.95,33109.97,6.14826294576,86.5747161132,17.3299572834,11065.58,14.3147044306
221,51334,4591.26,55871.86,10.1747420723,115.94340349,16.0044868707,18816.58,13.1855445631
222,51338,56.25,573.51,9.375,95.585,11.5413492063,191.64,11.9583333333
223,51342,454.75,5277.36,5.90584415584,68.5371428571,14.538961039,1761.66,14.1551948052
224,51346,1536.8,16749.22,7.12076308784,75.9942753623,14.3351826295,5694.02,12.9171103224
225,51351,9739.56,134738.33,12.4229081633,171.860114796,17.59692605,44965.56,15.2954846939
226,51358,270.5,2921.39,6.7625,73.03475,13.444452381,975.7,13.91625
227,51360,15115.96,203763.8,9.83789340392,124.940320043,16.4697150346,68051.76,14.4117293588
228,51401,18095.02,242936.75,14.0405580517,165.745861953,14.6787771536,81594.83,14.2943459118
229,51442,8840.16,105225.1,9.84442595838,128.788626864,15.7795522053,35544.06,13.4449732287
230,51443,206.18,3096.97,6.24787878788,93.8475757576,16.9509326571,1034.06,11.7163636364
231,51445,1541.75,18251.25,10.1045145331,137.474103278,14.6250574256,6098.48,14.1510698825
232,51449,888.75,9881.33,9.2578125,102.930520833,13.0354265873,3304.77,13.0514583333
233,51450,1457.45,18332.83,8.81744186047,115.077587686,16.8100596373,6146.25,15.7752744949
234,51455,810.8,11264.0,3.60355555556,50.0622222222,16.3422169591,3764.6,14.7758222222
235,51461,695.25,9918.29,3.84116022099,54.7971823204,16.4196132597,3324.41,17.5641436464
236,51462,109.8,1370.6,6.8625,85.6625,14.7299181548,457.1,9.63375
237,51466,103.5,1712.64,10.35,171.264,17.7476190476,573.12,13.305
238,51501,35824.44,543081.75,9.6749699958,141.275694599,17.2309988252,181380.76,12.4475531208
239,51503,27840.02,393740.13,9.23500529916,134.7930371,17.420390088,131502.16,14.437857739
240,51510,592.85,7907.59,4.98193277311,66.4503361345,16.7835843699,2637.99,10.8396638655
241,51521,2428.96,35254.69,8.01656263092,117.452597403,16.5283992331,11768.57,13.4959556975
242,51526,144.14,2109.99,6.55181818182,95.9086363636,18.9989772727,706.43,12.2690909091
243,51534,2533.69,30587.3,9.20534009258,121.109018063,17.456914239,10226.39,17.9007659175
244,51537,7784.1,92196.85,21.8186299748,220.984556024,14.6052626694,31016.58,13.0445876137
245,51546,607.5,6407.76,9.79838709677,103.350967742,11.1080721966,2147.52,12.43
246,51551,204.0,2311.44,9.27272727273,105.065454545,11.4593073593,771.18,8.52272727273
247,51555,1721.52,22404.69,2.97063536776,40.3107816901,17.6845190513,7496.22,12.2388497653
248,51559,313.17,3945.26,5.79944444444,73.0603703704,15.576186067,1319.52,10.6783333333
249,51560,834.59,11142.82,4.5919005848,64.947871345,16.4692709552,3719.31,12.4249473684
250,51561,660.16,8963.81,6.73632653061,91.4674489796,17.5826489694,2991.94,16.8929591837
251,51566,5114.4,64992.27,7.74694503215,104.799589832,17.5163714053,21699.11,13.7378776576
252,51575,116.62,1755.27,7.28875,109.704375,18.6443303571,586.69,15.864375
253,51577,277.7,3995.56,7.12051282051,102.45025641,16.1967032967,1334.0,12.6712820513
254,51579,449.2,6444.7,3.65203252033,52.3959349593,15.2271738289,2151.64,12.3836585366
255,51601,4705.83,62671.82,9.82106250775,118.656589701,14.7885582298,21053.48,12.8324490929
256,51632,3790.74,54192.63,6.47076751501,85.4886468891,16.0789827571,18124.58,14.3691957429
257,51640,187.1,2654.45,8.50454545455,120.656818182,14.7214285714,886.86,9.93227272727
258,52001,35782.04,515732.95,8.81162985194,118.782845943,17.2159831096,172514.02,12.7901074049
259,52002,16760.93,203140.82,17.8791654087,229.351907561,17.5729844932,68178.86,15.3981519165
260,52003,5846.24,83155.89,7.73691524725,125.076420763,19.6724705761,27786.49,15.775749831
261,52031,1663.55,21434.41,8.21889978214,111.080511983,15.9879113497,7164.82,13.272875817
262,52033,1212.5,14233.09,11.0227272727,129.391727273,12.7173766234,4785.29,13.6414545455
263,52040,4404.42,49175.99,10.6495226917,117.052199747,14.9392199804,16587.22,13.580461147
264,52042,415.5,4914.12,5.85211267606,69.2129577465,13.5141649899,1643.26,13.7749295775
265,52043,730.98,7649.77,9.05996527778,91.4203009259,14.4786081523,2602.22,12.0536265432
266,52046,205.5,2030.4,9.34090909091,92.2909090909,11.5813852814,677.28,9.12227272727
267,52052,1828.9,25963.75,7.55155844156,104.287536797,16.1447028448,8671.19,14.286978355
268,52057,2850.8,35252.94,11.5033656298,140.426035186,14.4478823871,11811.07,14.7428616352
269,52060,8179.58,96018.78,13.9402552746,151.003935833,13.7324056874,32273.03,14.729963499
270,52068,272.5,3756.12,8.79032258065,121.16516129,16.0362519201,1256.8,12.0580645161
271,52076,493.5,5319.84,16.3682432432,187.652837838,13.4628442728,1781.52,13.0074324324
272,52079,372.74,4598.41,9.3185,114.96025,17.3055616367,1538.63,11.104
273,52084,1685.68,38364.56,5.69486486486,129.61,26.2744781412,12795.59,13.4348648649
274,52087,2966.0,41078.22,9.32704402516,129.176792453,17.5182060497,13720.78,15.3576100629
275,52101,8147.71,107971.83,8.79228596696,118.000416782,16.4316822361,36091.56,14.7493427044
276,52136,6577.65,76135.96,14.4946494344,164.110416996,15.5793552031,25656.16,15.1761190038
277,52142,775.65,10533.66,13.6078947368,184.801052632,15.537786132,3542.82,13.5854385965
278,52144,854.85,10972.11,6.78452380952,87.0802380952,13.1546078987,3660.59,15.1274603175
279,52146,222.86,3221.71,5.18279069767,74.9234883721,18.2253068718,1080.25,15.4779069767
280,52151,748.85,8060.58,6.34618644068,68.31,13.9482828894,2699.01,12.3607627119
281,52154,532.5,8854.04,14.3918918919,239.298378378,16.9012870013,2957.48,17.0137837838
282,52159,1253.84,17912.42,3.76854386996,52.4907849589,15.6427794891,5985.74,16.4265109675
283,52162,273.8,2923.33,8.83225806452,94.3009677419,13.5258064516,974.66,13.0151612903
284,52166,394.25,6810.42,10.108974359,174.626153846,18.8448717949,2270.46,23.4853846154
285,52172,5045.24,65712.85,8.53613997258,105.36710642,15.2658803989,22016.32,15.3598233297
286,52175,1772.13,18474.4,9.47663101604,98.7935828877,14.5229879512,6222.73,14.4360427807
287,52205,4934.35,59075.74,11.5774970088,142.334012901,15.6609143938,19787.17,14.7191337634
288,52207,186.85,2205.09,9.3425,110.2545,17.2312380952,744.75,11.7645
289,52208,2242.19,26712.93,6.65774926231,78.5386366284,16.8700305893,8925.45,15.0796515375
290,52211,875.2,10971.37,8.03026315789,94.9891118421,15.0729436873,3661.85,12.4253618421
291,52213,784.25,8101.08,5.37157534247,55.4868493151,13.0776255708,2715.61,12.1887671233
292,52214,709.9,7906.47,6.63457943925,73.8922429907,13.6850778816,2646.31,11.5594392523
293,52224,307.5,3873.3,9.91935483871,124.94516129,12.7218740399,1294.86,11.8751612903
294,52227,320.55,4140.64,8.43552631579,108.964210526,14.5009210526,1390.79,11.5902631579
295,52228,254.25,3293.81,8.475,109.793666667,14.9723809524,1098.4,9.721
296,52233,2095.24,29262.51,6.36108944746,88.3180337409,15.4559903705,9765.6,10.81665625
297,52240,55230.1,873107.23,8.29762469306,128.41347449,19.0026883547,291639.57,14.4863042135
298,52241,29669.21,516438.37,17.7331358251,341.472855904,20.6535797468,172420.26,17.8278091236
299,52245,3097.6,50195.78,4.44418938307,72.0169010043,20.5779659694,16769.45,15.5715208034
300,52246,6694.48,94867.52,7.76737557306,109.496181527,17.0695446049,31734.33,13.7886449123
301,52248,178.48,2054.85,4.95777777778,57.0791666667,15.3098743386,686.16,11.745
302,52253,740.6,8916.77,6.73272727273,81.0615454545,14.9997857143,2996.38,13.3913636364
303,52254,170.27,2555.05,7.09458333333,106.460416667,20.4954712302,852.1,13.7691666667
304,52301,2655.5,31323.68,7.81029411765,92.1284705882,13.542442577,10519.42,13.6867647059
305,52302,17501.92,231598.5,8.83635454438,114.873885437,15.9241057821,77365.26,12.6026627381
306,52306,233.1,3256.5,9.7125,135.6875,15.763452381,1092.12,10.6458333333
307,52310,3636.91,45018.63,4.75263863976,57.5988070254,15.4925530973,15056.75,14.1169239163
308,52314,13158.7,197214.47,11.5302335859,169.468852273,18.1508044933,65821.96,15.8465462963
309,52317,3727.52,54056.67,7.09396922341,99.1365987401,16.7630814727,18077.31,13.1993067584
310,52324,321.0,3795.42,11.8888888889,140.571111111,12.5058906526,1268.7,12.2148148148
311,52327,1538.96,23694.15,8.55338425382,139.456049745,19.6923756921,7928.39,15.8671660791
312,52332,753.52,8580.19,2.78051660517,31.6612177122,14.4022188775,2869.33,13.4146494465
313,52333,1366.25,19021.23,10.602775762,140.498109579,15.4110204575,6351.16,13.7483744557
